ward,seed,staffing_factor,headcount,fte,fte_netto_bedarf,fte_brutto_ziel,soll_dienste,scenario,method,besetzungsquote,offene_slots,untergrenzen_verstoesse,harte_verstoesse,weiche_abweichungen,qualifikationsverstoesse,hilfskraftanteil,auslastung_mittel,auslastung_streuung,auslastung_spanne,arbeitszeitabweichung,planstabilitaet,geaenderte_zuweisungen,planungszeit_s,solver_status,krankheitsgutschrift_min
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S1,MILP reaktiv,1.0,0,0,0,2,0,0.1006,0.877,0.0309,0.1115,0.123,0.9404,22,1.097,0,5040
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S1,Greedy auf MILP-Plan,1.0,0,0,0,4,0,0.1071,0.8845,0.0508,0.1676,0.1165,0.9147,32,0.432,,5040
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S1,MILP auf Greedy-Plan,1.0,0,0,0,19,0,0.0974,0.8829,0.0429,0.1856,0.1171,0.9328,25,0.468,0,6030
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S2,Greedy,1.0,0,0,0,18,0,0.0974,0.8725,0.0593,0.2671,0.1275,0.4464,248,0.497,,4185
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S2,Greedy reaktiv,1.0,0,0,0,19,0,0.1071,0.8805,0.0785,0.3547,0.1303,0.9303,26,0.418,,4185
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S2,MILP,1.0,0,0,0,0,0,0.1039,0.8661,0.0158,0.088,0.1339,0.2017,384,30.084,1,3240
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S2,MILP reaktiv,1.0,0,0,0,0,0,0.1039,0.8716,0.0339,0.1171,0.1284,0.9616,14,0.455,0,3240
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S2,Greedy auf MILP-Plan,1.0,0,0,0,4,0,0.1071,0.8795,0.1038,0.5303,0.1512,0.9249,28,0.45,,3240
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S2,MILP auf Greedy-Plan,1.0,0,0,0,19,0,0.1071,0.8805,0.078,0.3547,0.1293,0.9512,18,0.213,0,4185
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S0,Greedy,1.0,0,0,0,19,0,0.1237,0.8996,0.0713,0.4508,0.1098,1.0,0,0.554,,0
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S0,Greedy reaktiv,1.0,0,0,0,19,0,0.1237,0.8996,0.0713,0.4508,0.1098,1.0,0,0.465,,0
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S0,MILP,1.0,0,0,0,0,0,0.1237,0.8933,0.0093,0.0412,0.1067,1.0,0,6.446,0,0
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S0,MILP reaktiv,1.0,0,0,0,0,0,0.1237,0.8933,0.0093,0.0412,0.1067,1.0,0,0.185,0,0
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S0,Greedy auf MILP-Plan,1.0,0,0,0,2,0,0.1237,0.8933,0.0093,0.0412,0.1067,0.9859,5,0.42,,0
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S0,MILP auf Greedy-Plan,1.0,0,0,0,19,0,0.1237,0.8996,0.0713,0.4508,0.1098,1.0,0,0.181,0,0
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S1,Greedy,1.0,0,0,0,20,0,0.1204,0.9517,0.096,0.5735,0.0795,0.2433,367,0.488,,8730
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S1,Greedy reaktiv,1.0,0,0,0,17,0,0.1237,0.9505,0.0814,0.4159,0.0716,0.8747,47,0.421,,8730
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S1,MILP,1.0,0,0,0,0,0,0.1237,0.9314,0.0145,0.0651,0.0686,0.1826,403,30.094,1,7020
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S1,MILP reaktiv,1.0,0,0,0,0,0,0.1204,0.9297,0.0368,0.1234,0.0703,0.9254,27,0.65,0,7020
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S1,Greedy auf MILP-Plan,1.0,0,0,0,6,0,0.1237,0.9384,0.0497,0.1626,0.0695,0.8946,39,0.448,,7020
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S1,MILP auf Greedy-Plan,1.0,0,0,0,17,0,0.1237,0.9502,0.0668,0.379,0.0593,0.9051,35,0.851,0,8730
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S2,Greedy,1.0,0,0,0,18,0,0.1271,0.9233,0.0732,0.4508,0.0862,0.6044,163,0.521,,4095
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S2,Greedy reaktiv,1.0,0,0,0,18,0,0.1304,0.9229,0.0787,0.4508,0.0865,0.9315,25,0.462,,4095
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S2,MILP,1.0,0,0,0,0,0,0.1271,0.931,0.0151,0.0651,0.069,0.1777,398,30.099,1,5580
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S2,MILP reaktiv,1.0,0,0,0,0,0,0.1271,0.9338,0.0455,0.1723,0.0703,0.9337,24,0.691,0,5580
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S2,Greedy auf MILP-Plan,1.0,0,0,0,5,0,0.1237,0.9418,0.0749,0.3034,0.0857,0.8871,42,0.493,,5580
geriatrie,20260906,1.0,28,22.65,14.9,19.08,299,S2,MILP auf Greedy-Plan,1.0,0,0,0,17,0,0.1271,0.9253,0.0564,0.3072,0.0842,0.9529,17,0.572,0,4095
